,player_rank,win_ratio,price_ratio,score_ratio,multiplayer,action_genre,strategy_genre,adventure_genre,rpg_genre,fps_genre,sports_genre,racing_genre,puzzle_genre,game_title
62,1.0,0.25013136400258473,1.0,0.2620266072062765,1,1,0,1,0,0,1,0,0,
63,1.0,0.38147737029798146,0.10880828902789338,0.2620266072062765,1,1,1,1,0,0,1,1,1,
64,100.0,0.8784074803398639,0.6632124490858814,0.5475946887941595,0,0,0,1,1,1,0,0,0,
65,100.0,0.6006955638693409,0.6632124490858814,0.6069600636020485,0,0,0,0,0,1,0,0,0,
66,100.0,0.6061178895604175,0.10880828902789338,0.059365403467050236,1,1,0,1,0,0,1,1,1,
67,100.0,0.4921135676324929,0.10880828902789338,0.059365403467050236,1,1,0,1,0,0,1,1,1,
68,100.0,0.7223183581151091,0.21658030863647348,0.14329579617801014,1,1,0,1,0,0,1,1,1,
69,1.0,0.1965442621488195,0.04870466063518487,0.5711361529403511,1,1,1,1,0,0,1,1,1,
70,1.0,0.17805488103667183,0.7834197017262207,0.9764585358538084,1,1,0,1,0,0,0,0,1,
71,1.0,0.15851076510972742,0.3253885873016727,0.41658139030872854,0,1,0,1,0,0,0,0,1,
72,1.0,0.07869973295029367,0.10880828902789338,0.15455476263162257,0,1,0,1,0,0,1,1,1,
73,100.0,0.5250797242903692,0.7709844479690731,0.6069600636020485,1,1,0,1,0,0,1,1,1,
74,1.0,0.4298587822596241,0.3253885873016727,0.6069600636020485,0,1,1,1,0,0,1,1,0,
75,1.0,0.33406613812866354,0.5181346889312467,0.3091095150278304,0,1,0,1,0,0,1,0,0,
76,1.0,0.3772807360705846,0.0,0.16683725008878708,1,1,0,1,0,0,1,0,0,
77,1.0,0.44072543090624405,0.3253885873016727,0.46468782936924935,0,0,0,1,0,0,1,0,0,
78,1.0,0.4005492577632161,0.25284973831243795,0.3091095150278304,1,1,0,1,0,0,1,1,1,
79,100.0,0.9588988726628738,0.9274611510107653,0.5475946887941595,0,0,0,0,0,0,0,0,0,
80,1.0,0.37289965202692565,0.10880828902789338,0.21392016814575573,0,1,0,1,0,0,1,1,1,
81,1.0,0.26834973168925763,0.10880828902789338,0.08393040294637467,0,1,1,1,0,0,1,1,1,
82,1.0,0.3552311673570832,0.31295335426991344,0.3091095150278304,1,1,0,1,0,0,1,1,1,
83,1.0,0.31520179922720926,0.265284960981503,0.17911975801678112,0,1,1,1,0,0,0,0,1,
84,1.0,0.4386295354354306,0.867357493602513,0.8812691889717337,1,1,0,0,0,0,1,0,0,
