PlayTimeHours,TotalWins,TotalLosses,AchievementsUnlocked,LevelUps,FriendsConnected,YearsActive,TotalPlayTimeHours,TotalAchievements,SpecialEventsParticipated,TotalLevelsCompleted,TotalItemsCollected,TotalFriendsMade,HasPremiumAccount,IsMultiplayer,TotalSessionsPlayed,TotalStrategiesUsed,TotalGameModesPlayed,InGamePurchasesAmount,HasChangedUsername
71.0,36.0,11.0,31.0,15.0,42.0,2.0,342.0,177.0,83.0,82.0,110.0,116.0,False,Yes,430.0,66.0,39.0,73.09154822989584,UsernameModificationLog
228.0,146.0,26.0,118.0,56.0,169.0,17.0,8333.0,4031.0,494.0,2547.0,1747.0,1523.0,False,No,363.0,325.0,40.0,923.1450262597499,UsernameModificationLog
416.0,172.0,19.0,102.0,35.0,225.0,3.0,1350.0,849.0,98.0,519.0,231.0,250.0,False,No,1038.0,442.0,39.0,639.807997040752,UsernameModificationLog
269.0,115.0,35.0,104.0,61.0,70.0,1.0,231.0,137.0,19.0,33.0,16.0,9.0,False,Yes,75.0,146.0,37.0,196.09638250997682,UsernameModificationLog
316.0,171.0,18.0,107.0,46.0,55.0,13.0,5574.0,2492.0,239.0,1644.0,929.0,939.0,False,Yes,37.0,497.0,40.0,1410.7845549131796,UsernameModificationLog
322.0,153.0,40.0,100.0,85.0,156.0,4.0,1847.0,974.0,154.0,411.0,502.0,400.0,False,No,1032.0,173.0,38.0,285.43593508149274,UsernameModificationLog
141.0,96.0,19.0,103.0,17.0,126.0,2.0,934.0,535.0,31.0,296.0,113.0,238.0,True,No,584.0,19.0,35.0,1288.8432863059822,UsernameChangeHistory
57.0,33.0,2.0,33.0,1.0,65.0,15.0,3203.0,1546.0,63.0,715.0,514.0,675.0,True,Yes,313.0,153.0,36.0,343.67827746198594,UsernameChangeHistory
187.0,78.0,9.0,54.0,14.0,26.0,6.0,1331.0,698.0,88.0,309.0,267.0,196.0,False,No,221.0,449.0,39.0,259.18186966237005,UsernameModificationLog
322.0,145.0,46.0,127.0,68.0,162.0,18.0,7215.0,3286.0,493.0,1879.0,1445.0,1564.0,False,No,1387.0,184.0,40.0,728.569499067048,UsernameModificationLog
46.0,15.0,1.0,2.0,6.0,22.0,5.0,1620.0,858.0,109.0,350.0,412.0,237.0,True,Yes,97.0,153.0,39.0,300.80788796015383,UsernameChangeHistory
196.0,119.0,13.0,119.0,19.0,203.0,5.0,968.0,526.0,94.0,321.0,194.0,302.0,True,No,631.0,97.0,37.0,329.09335793774125,UsernameChangeHistory
102.0,50.0,34.0,52.0,39.0,34.0,3.0,872.0,405.0,170.0,268.0,247.0,271.0,True,Yes,41.0,5.0,35.0,152.6878715168632,UsernameChangeHistory
251.0,168.0,12.0,135.0,26.0,76.0,1.0,261.0,178.0,26.0,79.0,33.0,68.0,True,Yes,1030.0,102.0,40.0,866.859323761317,UsernameChangeHistory
296.0,155.0,40.0,93.0,50.0,43.0,3.0,1161.0,718.0,168.0,296.0,446.0,138.0,True,Yes,460.0,135.0,35.0,809.2769800146262,UsernameChangeHistory
182.0,72.0,36.0,100.0,58.0,247.0,5.0,737.0,375.0,211.0,250.0,463.0,236.0,True,Yes,1352.0,178.0,40.0,1409.4741603149118,UsernameModificationLog
74.0,15.0,4.0,3.0,9.0,7.0,18.0,6504.0,2992.0,143.0,1304.0,1022.0,781.0,True,Yes,272.0,124.0,35.0,97.04640045136644,UsernameChangeHistory
63.0,22.0,21.0,12.0,20.0,16.0,19.0,7487.0,3528.0,333.0,1791.0,1380.0,1238.0,True,No,448.0,67.0,34.0,644.8490391334649,UsernameChangeHistory
402.0,287.0,22.0,158.0,89.0,194.0,19.0,8063.0,4139.0,226.0,2370.0,1393.0,1266.0,True,Yes,1173.0,424.0,40.0,1967.0346124509242,UsernameChangeHistory
411.0,264.0,25.0,163.0,42.0,185.0,9.0,3241.0,1668.0,326.0,1191.0,770.0,851.0,True,Yes,121.0,303.0,36.0,722.3654409679533,UsernameModificationLog
420.0,228.0,8.0,123.0,35.0,95.0,14.0,3355.0,1616.0,200.0,869.0,722.0,614.0,True,No,401.0,447.0,38.0,1460.8390946549243,UsernameChangeHistory
290.0,118.0,41.0,78.0,85.0,44.0,2.0,1239.0,703.0,131.0,337.0,417.0,99.0,False,No,394.0,36.0,36.0,984.5441302688299,UsernameModificationLog
57.0,15.0,13.0,26.0,16.0,170.0,16.0,6268.0,3194.0,462.0,1992.0,1499.0,1659.0,True,Yes,962.0,111.0,39.0,773.546127051563,UsernameChangeHistory
160.0,81.0,10.0,65.0,30.0,30.0,17.0,4049.0,1793.0,367.0,1321.0,1063.0,1079.0,True,No,225.0,112.0,34.0,164.90036832310514,UsernameModificationLog
10.0,2.0,3.0,13.0,0.0,4.0,1.0,345.0,153.0,12.0,75.0,25.0,76.0,False,Yes,604.0,153.0,37.0,194.80319122594298,UsernameModificationLog
404.0,270.0,37.0,190.0,63.0,154.0,16.0,8838.0,4509.0,420.0,2401.0,1583.0,907.0,False,Yes,171.0,249.0,40.0,1894.515011801251,UsernameModificationLog
90.0,70.0,2.0,37.0,10.0,71.0,6.0,981.0,443.0,44.0,187.0,156.0,246.0,False,Yes,337.0,232.0,36.0,524.1336982965566,UsernameModificationLog
107.0,37.0,6.0,23.0,15.0,46.0,12.0,2604.0,1300.0,53.0,542.0,371.0,202.0,True,Yes,103.0,114.0,34.0,247.77852569717217,UsernameChangeHistory
72.0,14.0,8.0,36.0,4.0,82.0,8.0,1591.0,632.0,69.0,473.0,165.0,747.0,False,No,1.0,214.0,38.0,57.363250673724295,UsernameModificationLog
312.0,176.0,22.0,156.0,40.0,67.0,11.0,5236.0,2457.0,251.0,1745.0,929.0,1055.0,True,Yes,499.0,319.0,40.0,594.9648974938324,UsernameModificationLog
80.0,44.0,9.0,20.0,29.0,19.0,18.0,7633.0,3686.0,421.0,1751.0,1507.0,892.0,True,No,733.0,42.0,34.0,1430.4783073809979,UsernameChangeHistory
98.0,54.0,2.0,33.0,3.0,18.0,14.0,5646.0,2567.0,261.0,1329.0,1186.0,641.0,False,No,501.0,252.0,38.0,770.0727911048892,UsernameModificationLog
240.0,91.0,37.0,66.0,44.0,126.0,14.0,5238.0,2364.0,379.0,1423.0,1130.0,1105.0,False,Yes,257.0,134.0,37.0,659.09747095983,UsernameModificationLog
275.0,158.0,23.0,126.0,70.0,76.0,16.0,8455.0,3983.0,412.0,2063.0,1644.0,1111.0,True,Yes,827.0,76.0,38.0,1086.5998954666486,UsernameChangeHistory
247.0,184.0,37.0,113.0,70.0,226.0,20.0,8988.0,4535.0,586.0,2642.0,1886.0,1759.0,True,No,221.0,51.0,33.0,942.837752819069,UsernameModificationLog
329.0,148.0,10.0,146.0,39.0,112.0,12.0,2807.0,1333.0,59.0,778.0,430.0,369.0,True,Yes,519.0,92.0,36.0,298.40417091473165,UsernameChangeHistory
306.0,149.0,20.0,137.0,37.0,102.0,1.0,1229.0,786.0,45.0,399.0,182.0,249.0,True,Yes,137.0,365.0,39.0,375.60375383010546,UsernameChangeHistory
383.0,249.0,44.0,156.0,69.0,143.0,5.0,1153.0,517.0,171.0,296.0,257.0,323.0,True,No,1353.0,332.0,38.0,417.95774407057866,UsernameChangeHistory
422.0,170.0,8.0,99.0,45.0,259.0,8.0,1455.0,875.0,50.0,391.0,218.0,199.0,False,No,134.0,435.0,38.0,1275.5277051220355,UsernameModificationLog
101.0,46.0,35.0,32.0,28.0,30.0,4.0,875.0,345.0,137.0,216.0,204.0,242.0,True,No,928.0,241.0,40.0,516.921655339015,UsernameChangeHistory
159.0,59.0,32.0,82.0,30.0,107.0,18.0,8293.0,3891.0,516.0,2610.0,1596.0,1693.0,True,Yes,1036.0,120.0,39.0,1679.252743964477,UsernameModificationLog
278.0,229.0,15.0,106.0,30.0,64.0,17.0,7346.0,3814.0,209.0,1848.0,1331.0,719.0,False,Yes,71.0,81.0,36.0,869.5727961366234,UsernameModificationLog
420.0,195.0,17.0,132.0,69.0,219.0,10.0,4195.0,2133.0,301.0,1490.0,1075.0,904.0,False,Yes,834.0,334.0,38.0,1859.3998965277608,UsernameModificationLog
94.0,27.0,1.0,39.0,7.0,114.0,7.0,808.0,362.0,20.0,199.0,102.0,229.0,False,Yes,50.0,271.0,40.0,92.97307601548854,UsernameModificationLog
95.0,48.0,4.0,26.0,6.0,64.0,4.0,924.0,380.0,57.0,161.0,169.0,216.0,False,Yes,311.0,112.0,34.0,227.7041466176724,UsernameModificationLog
122.0,70.0,15.0,45.0,15.0,23.0,9.0,1519.0,853.0,129.0,474.0,332.0,522.0,True,Yes,307.0,60.0,34.0,966.8737266565201,UsernameModificationLog
38.0,9.0,5.0,2.0,1.0,51.0,20.0,6962.0,3176.0,294.0,1373.0,1229.0,1407.0,False,Yes,723.0,84.0,33.0,203.4079051542001,UsernameChangeHistory
210.0,98.0,6.0,41.0,10.0,21.0,13.0,2861.0,1419.0,72.0,583.0,445.0,126.0,False,Yes,390.0,225.0,38.0,973.3843189360026,UsernameChangeHistory
151.0,103.0,34.0,124.0,42.0,229.0,14.0,6310.0,3609.0,283.0,2023.0,1208.0,1053.0,False,No,181.0,55.0,38.0,1908.8342835964174,UsernameModificationLog
34.0,21.0,0.0,3.0,3.0,18.0,7.0,1721.0,873.0,35.0,332.0,217.0,385.0,True,No,785.0,400.0,39.0,959.1541229238502,UsernameChangeHistory
92.0,51.0,18.0,50.0,38.0,39.0,10.0,2691.0,1329.0,301.0,725.0,954.0,704.0,True,No,1296.0,108.0,35.0,548.7384396380745,UsernameChangeHistory
130.0,46.0,14.0,37.0,25.0,71.0,19.0,6243.0,2721.0,397.0,1463.0,1429.0,848.0,False,Yes,620.0,73.0,36.0,646.4276769857656,UsernameModificationLog
225.0,145.0,17.0,116.0,36.0,241.0,7.0,3177.0,1460.0,399.0,1031.0,813.0,965.0,False,No,278.0,198.0,34.0,1569.6607639497695,UsernameModificationLog
68.0,13.0,5.0,24.0,10.0,35.0,13.0,3794.0,1790.0,162.0,973.0,911.0,818.0,True,Yes,151.0,402.0,40.0,1053.5979757025993,UsernameChangeHistory
98.0,49.0,2.0,19.0,5.0,21.0,12.0,2401.0,1299.0,43.0,693.0,250.0,415.0,False,No,661.0,171.0,40.0,343.69818107438044,UsernameModificationLog
225.0,114.0,27.0,68.0,57.0,122.0,18.0,8519.0,3975.0,428.0,2126.0,1634.0,1372.0,False,No,1345.0,344.0,40.0,1646.7407877230628,UsernameModificationLog
166.0,96.0,19.0,61.0,50.0,54.0,20.0,9736.0,4863.0,468.0,2709.0,1910.0,1784.0,True,No,935.0,51.0,39.0,1428.4209914488902,UsernameChangeHistory
168.0,80.0,30.0,68.0,52.0,47.0,2.0,1181.0,541.0,157.0,298.0,326.0,225.0,False,No,529.0,95.0,37.0,415.4611882239895,UsernameModificationLog
29.0,12.0,1.0,1.0,0.0,4.0,1.0,424.0,226.0,28.0,154.0,62.0,101.0,False,Yes,327.0,116.0,38.0,73.00945811109122,UsernameChangeHistory
13.0,9.0,9.0,19.0,7.0,47.0,5.0,1576.0,926.0,70.0,563.0,319.0,579.0,False,Yes,20.0,41.0,38.0,404.40007866933917,UsernameModificationLog
129.0,61.0,15.0,84.0,32.0,241.0,14.0,4412.0,1868.0,240.0,1546.0,879.0,1209.0,True,No,453.0,21.0,31.0,759.5110237811612,UsernameChangeHistory
77.0,55.0,6.0,28.0,12.0,123.0,20.0,8914.0,4568.0,482.0,2653.0,1742.0,1622.0,True,No,410.0,25.0,31.0,1814.6765516050068,UsernameChangeHistory
217.0,85.0,8.0,46.0,31.0,152.0,14.0,3298.0,1395.0,357.0,802.0,780.0,791.0,False,No,150.0,402.0,40.0,104.33129729488108,UsernameModificationLog
205.0,111.0,20.0,66.0,54.0,63.0,7.0,2904.0,1442.0,202.0,856.0,657.0,312.0,True,No,401.0,61.0,39.0,399.209466147813,UsernameChangeHistory
13.0,2.0,8.0,14.0,7.0,76.0,2.0,417.0,204.0,25.0,83.0,113.0,161.0,False,Yes,263.0,236.0,38.0,160.45223387350805,UsernameChangeHistory
164.0,109.0,1.0,62.0,15.0,46.0,1.0,334.0,163.0,12.0,37.0,39.0,26.0,False,No,1049.0,140.0,37.0,488.5522420331439,UsernameModificationLog
472.0,289.0,22.0,150.0,88.0,75.0,2.0,1189.0,695.0,106.0,258.0,458.0,107.0,False,Yes,576.0,397.0,39.0,1117.259695067651,UsernameModificationLog
42.0,6.0,8.0,2.0,6.0,19.0,11.0,1556.0,610.0,91.0,274.0,380.0,337.0,False,Yes,923.0,294.0,38.0,76.35922056558182,UsernameModificationLog
70.0,49.0,10.0,56.0,24.0,23.0,16.0,4227.0,2015.0,318.0,1358.0,1123.0,1056.0,False,Yes,0.0,12.0,31.0,284.72976352801567,UsernameModificationLog
21.0,4.0,17.0,23.0,13.0,54.0,2.0,179.0,125.0,49.0,53.0,86.0,114.0,False,Yes,164.0,80.0,34.0,100.87805641987968,UsernameModificationLog
103.0,48.0,6.0,39.0,11.0,117.0,13.0,4439.0,2095.0,146.0,1102.0,792.0,1059.0,True,Yes,1339.0,306.0,38.0,353.13130405952944,UsernameChangeHistory
67.0,23.0,1.0,3.0,4.0,12.0,18.0,5820.0,2912.0,213.0,1577.0,881.0,755.0,True,Yes,652.0,136.0,34.0,392.32333556415847,UsernameChangeHistory
437.0,285.0,43.0,143.0,88.0,48.0,8.0,1615.0,977.0,196.0,359.0,640.0,215.0,True,No,1122.0,351.0,40.0,1441.2353178326218,UsernameChangeHistory
30.0,25.0,1.0,4.0,3.0,0.0,11.0,2199.0,1269.0,43.0,481.0,381.0,389.0,False,No,392.0,116.0,33.0,141.4713639488702,UsernameModificationLog
214.0,87.0,7.0,68.0,30.0,193.0,10.0,3353.0,1628.0,128.0,1038.0,505.0,805.0,True,Yes,609.0,208.0,40.0,382.74062112306746,UsernameChangeHistory
140.0,82.0,2.0,82.0,12.0,136.0,10.0,3922.0,1953.0,266.0,1136.0,1163.0,975.0,True,Yes,662.0,308.0,40.0,1684.6439097575171,UsernameChangeHistory
239.0,105.0,20.0,96.0,34.0,212.0,14.0,3838.0,2021.0,260.0,1217.0,850.0,614.0,True,Yes,444.0,36.0,35.0,1074.8078856708166,UsernameChangeHistory
26.0,10.0,20.0,7.0,22.0,14.0,17.0,4434.0,1962.0,228.0,926.0,988.0,599.0,False,Yes,279.0,40.0,37.0,120.29710767008089,UsernameModificationLog
150.0,54.0,9.0,28.0,10.0,24.0,19.0,7979.0,3741.0,263.0,2108.0,1175.0,1186.0,False,No,178.0,62.0,31.0,652.3167158669805,UsernameModificationLog
136.0,53.0,14.0,47.0,33.0,72.0,17.0,5125.0,2209.0,217.0,1132.0,1050.0,706.0,True,Yes,493.0,33.0,35.0,518.109350475975,UsernameChangeHistory
185.0,100.0,30.0,47.0,73.0,26.0,6.0,1734.0,1162.0,282.0,668.0,660.0,234.0,False,Yes,192.0,79.0,39.0,449.3237044117442,UsernameModificationLog
14.0,17.0,1.0,6.0,0.0,7.0,1.0,253.0,142.0,7.0,18.0,8.0,13.0,False,Yes,923.0,274.0,38.0,597.5924297248445,UsernameModificationLog
32.0,4.0,0.0,1.0,2.0,4.0,18.0,5752.0,2370.0,136.0,1188.0,876.0,698.0,True,No,451.0,214.0,40.0,687.3482504885259,UsernameChangeHistory
64.0,11.0,1.0,15.0,0.0,54.0,1.0,163.0,102.0,11.0,64.0,7.0,85.0,False,Yes,330.0,50.0,32.0,354.11252999957816,UsernameModificationLog
359.0,158.0,39.0,137.0,85.0,97.0,11.0,2577.0,1144.0,171.0,448.0,636.0,246.0,False,Yes,473.0,299.0,37.0,626.8916412519443,UsernameModificationLog
268.0,178.0,10.0,79.0,39.0,22.0,3.0,709.0,271.0,24.0,141.0,108.0,69.0,False,Yes,284.0,415.0,40.0,573.4220139290424,UsernameModificationLog
104.0,60.0,9.0,26.0,28.0,29.0,16.0,3176.0,1378.0,271.0,687.0,834.0,471.0,False,Yes,556.0,71.0,35.0,206.20149369935808,UsernameModificationLog
171.0,63.0,23.0,82.0,39.0,162.0,14.0,2594.0,1253.0,100.0,527.0,585.0,523.0,True,No,727.0,39.0,39.0,609.1079516923661,UsernameChangeHistory
20.0,6.0,7.0,2.0,11.0,21.0,14.0,3405.0,1715.0,207.0,887.0,857.0,647.0,True,No,72.0,156.0,38.0,205.7756860396377,UsernameChangeHistory
268.0,139.0,11.0,91.0,26.0,39.0,5.0,1027.0,567.0,38.0,302.0,124.0,112.0,True,Yes,645.0,117.0,38.0,402.06035949343755,UsernameChangeHistory
33.0,22.0,0.0,5.0,0.0,8.0,13.0,2061.0,1209.0,37.0,424.0,244.0,171.0,True,Yes,462.0,342.0,37.0,218.29463870486023,UsernameChangeHistory
485.0,230.0,10.0,163.0,53.0,189.0,2.0,1612.0,964.0,86.0,617.0,418.0,457.0,True,Yes,599.0,407.0,38.0,1601.03745313142,UsernameChangeHistory
59.0,26.0,7.0,9.0,20.0,7.0,14.0,3523.0,1736.0,154.0,797.0,718.0,181.0,True,Yes,43.0,180.0,39.0,661.5914836801322,UsernameChangeHistory
230.0,99.0,6.0,49.0,33.0,24.0,12.0,2832.0,1514.0,177.0,631.0,692.0,97.0,True,No,484.0,273.0,40.0,1180.2236783956303,UsernameChangeHistory
23.0,21.0,19.0,14.0,29.0,10.0,4.0,514.0,277.0,30.0,178.0,116.0,69.0,True,Yes,215.0,2.0,37.0,680.3919768921236,UsernameChangeHistory
111.0,47.0,4.0,49.0,14.0,213.0,3.0,1780.0,1002.0,228.0,695.0,576.0,572.0,False,No,1160.0,206.0,39.0,1258.971519735378,UsernameChangeHistory
363.0,242.0,17.0,115.0,51.0,70.0,8.0,1380.0,745.0,127.0,401.0,253.0,164.0,True,Yes,497.0,332.0,38.0,1192.2372127545252,UsernameModificationLog
31.0,23.0,3.0,21.0,5.0,17.0,1.0,140.0,74.0,14.0,18.0,8.0,37.0,False,Yes,29.0,46.0,35.0,243.9710830530001,UsernameModificationLog
77.0,42.0,7.0,21.0,13.0,69.0,9.0,1043.0,406.0,79.0,252.0,198.0,401.0,False,Yes,20.0,318.0,38.0,223.69465566439456,UsernameModificationLog
35.0,5.0,13.0,15.0,8.0,34.0,1.0,272.0,119.0,30.0,34.0,34.0,48.0,True,No,503.0,151.0,39.0,349.3823581096986,UsernameChangeHistory
172.0,91.0,40.0,112.0,60.0,100.0,3.0,701.0,385.0,170.0,269.0,235.0,196.0,True,Yes,144.0,124.0,40.0,599.2374712589074,UsernameChangeHistory
71.0,13.0,9.0,33.0,17.0,82.0,7.0,1740.0,796.0,244.0,379.0,652.0,429.0,False,No,452.0,211.0,40.0,165.8328062436566,UsernameModificationLog
150.0,92.0,2.0,96.0,6.0,192.0,8.0,3104.0,1438.0,56.0,992.0,298.0,1119.0,False,Yes,369.0,443.0,39.0,436.613593453386,UsernameModificationLog
164.0,101.0,34.0,96.0,40.0,99.0,19.0,6923.0,3277.0,345.0,1583.0,1379.0,931.0,False,Yes,34.0,309.0,39.0,372.08218200274865,UsernameModificationLog
221.0,108.0,44.0,99.0,76.0,179.0,18.0,9286.0,4471.0,564.0,2706.0,1845.0,1923.0,True,No,1111.0,45.0,36.0,898.8359790057976,UsernameModificationLog
292.0,227.0,45.0,183.0,73.0,171.0,13.0,3864.0,2120.0,205.0,1247.0,735.0,483.0,True,No,168.0,27.0,33.0,473.82087797727456,UsernameChangeHistory
316.0,171.0,46.0,113.0,95.0,66.0,17.0,8085.0,4089.0,516.0,2546.0,1668.0,1476.0,True,No,476.0,23.0,37.0,803.1365510233909,UsernameModificationLog
17.0,3.0,20.0,2.0,13.0,19.0,20.0,9098.0,4158.0,586.0,2129.0,1855.0,1587.0,True,No,347.0,8.0,30.0,529.6284475828077,UsernameChangeHistory
304.0,200.0,10.0,139.0,23.0,103.0,8.0,3626.0,1913.0,202.0,1105.0,715.0,323.0,False,Yes,1192.0,46.0,38.0,1364.2147020712446,UsernameModificationLog
243.0,168.0,25.0,129.0,44.0,265.0,17.0,6149.0,3020.0,447.0,1838.0,1426.0,1380.0,False,Yes,223.0,363.0,40.0,1888.728928426222,UsernameModificationLog
85.0,38.0,33.0,60.0,16.0,27.0,15.0,3691.0,1731.0,462.0,1526.0,1100.0,1059.0,False,No,88.0,1.0,29.0,116.30556454102474,UsernameModificationLog
378.0,259.0,41.0,152.0,93.0,159.0,9.0,3032.0,1664.0,210.0,965.0,766.0,526.0,False,Yes,597.0,213.0,38.0,560.2762067151499,UsernameModificationLog
208.0,96.0,39.0,95.0,79.0,47.0,15.0,4123.0,1733.0,255.0,991.0,967.0,871.0,False,Yes,250.0,100.0,40.0,144.89169342952667,UsernameModificationLog
29.0,16.0,10.0,25.0,11.0,78.0,7.0,1875.0,1040.0,75.0,664.0,332.0,525.0,True,Yes,342.0,6.0,36.0,210.61385902415336,UsernameChangeHistory
295.0,146.0,6.0,105.0,19.0,186.0,15.0,7450.0,3901.0,299.0,2379.0,1384.0,1434.0,True,No,185.0,326.0,40.0,896.5219112336731,UsernameChangeHistory
432.0,211.0,8.0,120.0,45.0,247.0,10.0,5568.0,2721.0,198.0,1377.0,879.0,1028.0,True,Yes,1378.0,235.0,39.0,451.41292432895585,UsernameChangeHistory
120.0,71.0,13.0,74.0,28.0,72.0,6.0,1546.0,997.0,69.0,616.0,392.0,351.0,True,No,1209.0,20.0,37.0,248.32911703692545,UsernameChangeHistory
93.0,31.0,10.0,31.0,7.0,15.0,14.0,3634.0,1589.0,234.0,964.0,699.0,519.0,False,Yes,479.0,180.0,40.0,218.5354264913925,UsernameModificationLog
152.0,94.0,28.0,75.0,41.0,115.0,7.0,1286.0,766.0,99.0,279.0,369.0,208.0,True,Yes,170.0,34.0,33.0,794.098581996432,UsernameChangeHistory
349.0,140.0,17.0,67.0,40.0,170.0,16.0,6761.0,3103.0,199.0,1656.0,1049.0,1231.0,True,Yes,304.0,500.0,40.0,615.3795316125464,UsernameChangeHistory
131.0,54.0,4.0,33.0,10.0,24.0,1.0,386.0,181.0,12.0,93.0,25.0,106.0,True,No,426.0,239.0,38.0,230.830601286549,UsernameChangeHistory
288.0,168.0,33.0,162.0,39.0,199.0,12.0,5215.0,2254.0,469.0,1603.0,1271.0,834.0,False,Yes,1261.0,266.0,36.0,880.7245559398367,UsernameModificationLog
436.0,215.0,44.0,109.0,97.0,251.0,20.0,9935.0,4977.0,532.0,2811.0,1889.0,1958.0,False,Yes,1458.0,106.0,39.0,1517.8940712811047,UsernameModificationLog
96.0,36.0,34.0,46.0,25.0,179.0,8.0,1196.0,589.0,369.0,332.0,647.0,328.0,False,Yes,567.0,21.0,32.0,1599.0624543041647,UsernameModificationLog
31.0,9.0,8.0,3.0,5.0,38.0,4.0,315.0,145.0,15.0,19.0,41.0,65.0,True,Yes,75.0,35.0,35.0,327.44027911122186,UsernameChangeHistory
40.0,19.0,1.0,12.0,8.0,31.0,15.0,3931.0,1798.0,160.0,860.0,760.0,760.0,False,Yes,734.0,260.0,37.0,598.7439726656168,UsernameChangeHistory
53.0,16.0,5.0,4.0,8.0,16.0,19.0,7415.0,3520.0,177.0,1371.0,1279.0,1023.0,False,Yes,23.0,51.0,32.0,813.565800699262,UsernameChangeHistory
310.0,227.0,13.0,102.0,43.0,66.0,6.0,1651.0,1025.0,100.0,576.0,443.0,161.0,False,No,146.0,68.0,38.0,176.78222020669625,UsernameModificationLog
101.0,66.0,13.0,39.0,27.0,13.0,4.0,1516.0,809.0,219.0,310.0,579.0,218.0,False,No,509.0,30.0,38.0,104.85467639463862,UsernameModificationLog
68.0,37.0,21.0,48.0,20.0,70.0,20.0,7477.0,3549.0,582.0,1902.0,1727.0,1256.0,False,Yes,700.0,0.0,27.0,1310.5947665575043,UsernameModificationLog
350.0,206.0,23.0,148.0,53.0,153.0,10.0,4055.0,1902.0,142.0,1190.0,668.0,902.0,True,Yes,379.0,92.0,39.0,1310.8032310434878,UsernameChangeHistory
170.0,79.0,10.0,58.0,39.0,78.0,14.0,3911.0,2099.0,208.0,1180.0,946.0,550.0,True,No,315.0,38.0,37.0,299.17640414510674,UsernameChangeHistory
153.0,73.0,30.0,42.0,37.0,132.0,19.0,7705.0,3950.0,534.0,2359.0,1713.0,1880.0,False,Yes,273.0,134.0,39.0,444.7401424117204,UsernameModificationLog
56.0,18.0,1.0,4.0,0.0,0.0,4.0,1259.0,719.0,61.0,238.0,207.0,122.0,True,Yes,176.0,347.0,40.0,253.3953041290148,UsernameChangeHistory
487.0,229.0,50.0,137.0,99.0,264.0,11.0,5467.0,2572.0,548.0,1814.0,1409.0,1429.0,True,No,1004.0,269.0,39.0,570.452238526465,UsernameChangeHistory
219.0,162.0,15.0,93.0,53.0,195.0,19.0,8279.0,4461.0,217.0,2442.0,1350.0,1490.0,True,Yes,476.0,365.0,40.0,1187.432734961474,UsernameChangeHistory
25.0,3.0,3.0,0.0,8.0,57.0,20.0,7060.0,3343.0,418.0,1687.0,1501.0,1617.0,False,No,348.0,21.0,37.0,118.54443583545078,UsernameModificationLog
323.0,162.0,48.0,175.0,98.0,281.0,4.0,1567.0,737.0,166.0,374.0,471.0,619.0,True,No,1441.0,226.0,39.0,1647.2059773839485,UsernameChangeHistory
445.0,287.0,39.0,174.0,71.0,245.0,11.0,3487.0,1801.0,287.0,1184.0,946.0,925.0,False,No,534.0,320.0,40.0,1422.6340821029426,UsernameModificationLog
