ArticleCount,WordCount,ImageCount,VideoCount,CommentCount,ShareCount,JournalistYears,TotalArticles,TotalWords,TotalImages,TotalVideos,TotalComments,TotalShares,Language,Region,Citations,References,Corrections,ImpactFactor,MediaChannel
114.0,119.0,0.0,19.0,8.0,58.0,19.0,3735.0,2069.0,7.0,157.0,261.0,760.0,Spanish,North America,199.0,133.0,19.0,294.94921421915245,Newspaper
442.0,218.0,2.0,54.0,31.0,78.0,21.0,4106.0,2011.0,34.0,172.0,379.0,738.0,English,North America,213.0,120.0,12.0,679.0573083615636,Television
151.0,134.0,2.0,56.0,17.0,175.0,16.0,5075.0,2500.0,52.0,245.0,535.0,2050.0,English,North America,193.0,103.0,1.0,302.79348642023774,Newspaper
196.0,151.0,8.0,33.0,24.0,95.0,16.0,4595.0,2420.0,70.0,217.0,507.0,1383.0,Spanish,North America,291.0,119.0,3.0,909.773529902014,Newspaper
45.0,34.0,1.0,4.0,5.0,0.0,26.0,6442.0,3452.0,35.0,281.0,600.0,1151.0,English,Europe,248.0,104.0,3.0,434.07358793821203,Television
384.0,206.0,9.0,59.0,46.0,40.0,17.0,5784.0,3182.0,53.0,248.0,609.0,602.0,Spanish,North America,937.0,103.0,14.0,422.3143832878554,Newspaper
15.0,39.0,3.0,24.0,13.0,61.0,29.0,6732.0,3734.0,94.0,408.0,924.0,2344.0,Spanish,North America,424.0,107.0,1.0,404.6107939834739,Newspaper
443.0,272.0,10.0,96.0,49.0,91.0,26.0,9068.0,4602.0,86.0,441.0,933.0,2024.0,English,Europe,409.0,118.0,8.0,553.08814043125,Television
152.0,78.0,1.0,15.0,6.0,91.0,25.0,6479.0,3517.0,67.0,363.0,734.0,2191.0,Spanish,North America,377.0,109.0,3.0,542.041051771616,Newspaper
396.0,273.0,3.0,80.0,22.0,130.0,4.0,1500.0,814.0,13.0,72.0,108.0,275.0,English,Europe,954.0,123.0,7.0,643.509206674241,Television
148.0,138.0,3.0,34.0,22.0,59.0,12.0,2398.0,1020.0,16.0,80.0,180.0,510.0,Spanish,North America,62.0,106.0,5.0,358.39444853964903,Newspaper
14.0,10.0,3.0,6.0,12.0,23.0,15.0,1825.0,780.0,37.0,59.0,310.0,629.0,Spanish,North America,316.0,102.0,0.0,178.95137236449364,Newspaper
79.0,58.0,6.0,20.0,9.0,20.0,13.0,3720.0,1763.0,30.0,185.0,282.0,1156.0,English,North America,364.0,98.0,2.0,126.38544613350543,Television
20.0,20.0,3.0,17.0,7.0,87.0,5.0,1769.0,775.0,21.0,117.0,157.0,993.0,English,North America,110.0,110.0,8.0,267.36913812106826,Television
275.0,170.0,2.0,50.0,16.0,167.0,2.0,584.0,343.0,1.0,26.0,58.0,103.0,Spanish,Europe,827.0,120.0,8.0,127.12589029032716,Newspaper
322.0,246.0,3.0,73.0,22.0,51.0,12.0,4255.0,2299.0,16.0,205.0,280.0,733.0,Spanish,Europe,866.0,117.0,18.0,904.987243743712,Newspaper
143.0,74.0,0.0,26.0,5.0,24.0,21.0,3224.0,1521.0,22.0,147.0,232.0,888.0,English,Europe,21.0,129.0,7.0,154.1211170320294,Television
209.0,127.0,6.0,38.0,26.0,29.0,28.0,6446.0,3009.0,82.0,327.0,686.0,1762.0,English,Europe,26.0,124.0,11.0,207.31008721419732,Television
139.0,124.0,0.0,26.0,5.0,61.0,11.0,2162.0,992.0,8.0,116.0,128.0,1022.0,English,North America,248.0,122.0,10.0,346.025363463612,Television
119.0,71.0,8.0,15.0,25.0,17.0,7.0,1282.0,410.0,37.0,30.0,229.0,226.0,English,Europe,688.0,100.0,3.0,88.48903389562975,Television
54.0,36.0,1.0,10.0,6.0,8.0,13.0,2455.0,986.0,14.0,60.0,182.0,596.0,English,North America,21.0,110.0,2.0,99.00477163807464,Television
246.0,129.0,6.0,30.0,34.0,36.0,14.0,4341.0,2241.0,66.0,183.0,580.0,945.0,Spanish,North America,628.0,133.0,20.0,323.91570421341413,Newspaper
273.0,210.0,7.0,89.0,35.0,90.0,6.0,1609.0,853.0,32.0,80.0,247.0,238.0,Spanish,Europe,463.0,112.0,5.0,400.33180539104103,Newspaper
44.0,64.0,1.0,23.0,6.0,92.0,15.0,4237.0,2488.0,24.0,225.0,383.0,1696.0,Spanish,North America,896.0,109.0,1.0,982.0670728548916,Newspaper
170.0,108.0,2.0,48.0,7.0,160.0,26.0,6877.0,3578.0,85.0,433.0,699.0,2718.0,Spanish,Europe,76.0,99.0,3.0,739.1140802190579,Newspaper
217.0,130.0,1.0,47.0,4.0,42.0,2.0,1298.0,594.0,0.0,49.0,49.0,91.0,Spanish,North America,533.0,112.0,4.0,238.02511115749692,Newspaper
226.0,140.0,6.0,50.0,35.0,152.0,9.0,1106.0,466.0,30.0,37.0,235.0,367.0,English,North America,649.0,107.0,2.0,122.09609922747585,Television
211.0,115.0,2.0,24.0,9.0,65.0,19.0,3829.0,1750.0,23.0,171.0,259.0,1259.0,Spanish,Europe,49.0,122.0,4.0,255.88846097083683,Newspaper
243.0,185.0,1.0,61.0,18.0,118.0,6.0,2216.0,1155.0,25.0,134.0,260.0,847.0,Spanish,North America,343.0,118.0,14.0,371.21049139190904,Newspaper
474.0,299.0,3.0,88.0,24.0,182.0,5.0,1920.0,885.0,7.0,113.0,106.0,552.0,English,Europe,620.0,116.0,5.0,328.05571418625664,Television
316.0,233.0,9.0,81.0,47.0,87.0,2.0,1792.0,893.0,43.0,92.0,374.0,306.0,Spanish,Europe,724.0,117.0,19.0,812.4418938786381,Newspaper
33.0,19.0,2.0,1.0,10.0,4.0,11.0,1569.0,645.0,19.0,54.0,158.0,563.0,English,North America,114.0,100.0,4.0,118.7532292079979,Television
246.0,172.0,5.0,52.0,19.0,126.0,17.0,5094.0,2680.0,75.0,254.0,603.0,2057.0,Spanish,North America,591.0,118.0,4.0,330.00073768453905,Newspaper
23.0,7.0,3.0,1.0,7.0,8.0,10.0,594.0,227.0,4.0,6.0,65.0,101.0,Spanish,North America,718.0,112.0,11.0,54.29003546181386,Newspaper
163.0,123.0,2.0,56.0,19.0,86.0,14.0,3327.0,1875.0,13.0,162.0,243.0,592.0,Spanish,North America,640.0,118.0,7.0,397.73937185480077,Newspaper
276.0,203.0,1.0,37.0,16.0,130.0,30.0,6652.0,3861.0,65.0,389.0,704.0,2323.0,English,North America,701.0,113.0,12.0,561.4297544700995,Television
43.0,61.0,6.0,13.0,23.0,47.0,30.0,8605.0,4537.0,100.0,440.0,967.0,2829.0,English,North America,54.0,102.0,6.0,236.124387366285,Television
73.0,53.0,0.0,11.0,0.0,55.0,3.0,1555.0,561.0,15.0,60.0,120.0,628.0,Spanish,Europe,588.0,113.0,11.0,73.32293164267998,Newspaper
311.0,154.0,9.0,57.0,32.0,38.0,23.0,6034.0,2915.0,63.0,296.0,516.0,1832.0,Spanish,North America,836.0,116.0,11.0,661.9393813467315,Newspaper
185.0,100.0,2.0,41.0,14.0,60.0,1.0,269.0,146.0,6.0,21.0,51.0,225.0,English,North America,454.0,121.0,5.0,65.65489127848097,Television
128.0,91.0,0.0,23.0,5.0,73.0,9.0,2656.0,1454.0,11.0,129.0,146.0,736.0,English,North America,164.0,127.0,6.0,666.9942940708553,Newspaper
162.0,126.0,1.0,20.0,18.0,103.0,10.0,1262.0,423.0,12.0,40.0,94.0,735.0,English,Europe,459.0,109.0,3.0,141.27552593274646,Newspaper
64.0,25.0,0.0,2.0,6.0,32.0,17.0,2679.0,1513.0,33.0,130.0,304.0,919.0,English,North America,90.0,127.0,7.0,357.29055951504756,Television
58.0,68.0,0.0,5.0,1.0,0.0,2.0,869.0,367.0,1.0,28.0,40.0,111.0,Spanish,North America,488.0,128.0,14.0,220.64078276291895,Newspaper
86.0,75.0,6.0,20.0,20.0,14.0,11.0,1617.0,793.0,12.0,61.0,136.0,484.0,English,Europe,521.0,105.0,11.0,290.68042920008173,Television
241.0,196.0,2.0,71.0,10.0,81.0,21.0,6157.0,3270.0,68.0,377.0,614.0,1555.0,Spanish,North America,58.0,108.0,0.0,380.8907210503653,Newspaper
453.0,241.0,7.0,93.0,39.0,144.0,1.0,498.0,131.0,23.0,18.0,92.0,162.0,Spanish,North America,154.0,116.0,4.0,203.23197609416917,Television
160.0,86.0,1.0,34.0,18.0,82.0,1.0,80.0,78.0,0.0,2.0,7.0,91.0,English,North America,921.0,113.0,4.0,180.4896403981472,Television
229.0,125.0,7.0,31.0,22.0,64.0,17.0,2949.0,1577.0,58.0,117.0,482.0,795.0,Spanish,North America,749.0,119.0,5.0,249.06793866403365,Newspaper
222.0,181.0,8.0,47.0,41.0,114.0,21.0,6068.0,3412.0,63.0,266.0,722.0,2001.0,Spanish,North America,507.0,126.0,14.0,912.9914829424845,Newspaper
201.0,126.0,4.0,40.0,14.0,44.0,16.0,2765.0,1101.0,15.0,78.0,173.0,573.0,Spanish,Europe,820.0,118.0,14.0,233.8317807766075,Newspaper
167.0,145.0,3.0,26.0,27.0,85.0,15.0,2168.0,882.0,18.0,59.0,195.0,490.0,English,North America,334.0,117.0,6.0,576.1913379111016,Newspaper
361.0,189.0,6.0,80.0,38.0,199.0,7.0,1549.0,723.0,45.0,115.0,298.0,1359.0,English,North America,242.0,128.0,13.0,165.1858062724554,Television
10.0,5.0,0.0,0.0,0.0,16.0,10.0,1422.0,483.0,5.0,35.0,60.0,266.0,English,Europe,23.0,128.0,6.0,63.215790571442454,Newspaper
441.0,269.0,2.0,74.0,20.0,51.0,25.0,8653.0,4550.0,54.0,415.0,723.0,1937.0,Spanish,North America,81.0,127.0,16.0,787.7692733370095,Newspaper
479.0,228.0,7.0,62.0,31.0,94.0,1.0,864.0,399.0,12.0,29.0,91.0,113.0,Spanish,Europe,341.0,119.0,8.0,104.17827339165817,Newspaper
125.0,120.0,1.0,32.0,10.0,53.0,3.0,1802.0,793.0,12.0,77.0,115.0,739.0,Spanish,North America,56.0,112.0,6.0,186.37754040833454,Newspaper
261.0,193.0,6.0,61.0,23.0,43.0,27.0,9017.0,4578.0,55.0,463.0,822.0,2708.0,English,Europe,572.0,122.0,4.0,471.58663239662127,Television
355.0,246.0,9.0,62.0,36.0,82.0,24.0,7359.0,3879.0,89.0,389.0,840.0,2309.0,Spanish,Europe,211.0,117.0,14.0,320.01676211837236,Newspaper
201.0,160.0,7.0,47.0,41.0,144.0,17.0,5819.0,3111.0,80.0,302.0,757.0,2174.0,English,Europe,508.0,109.0,9.0,249.29120069611452,Television
205.0,155.0,4.0,31.0,33.0,106.0,15.0,3803.0,1980.0,29.0,192.0,371.0,1987.0,Spanish,Europe,413.0,130.0,18.0,273.6744181512669,Newspaper
12.0,10.0,0.0,0.0,3.0,0.0,4.0,186.0,106.0,0.0,1.0,13.0,98.0,English,North America,17.0,120.0,12.0,53.42866687662634,Television
415.0,258.0,8.0,95.0,48.0,128.0,14.0,3823.0,2204.0,81.0,239.0,526.0,909.0,Spanish,North America,399.0,112.0,7.0,769.6463416484503,Television
108.0,107.0,2.0,21.0,12.0,29.0,25.0,6548.0,3810.0,82.0,397.0,762.0,1527.0,Spanish,North America,200.0,100.0,0.0,927.6026359512424,Newspaper
53.0,23.0,0.0,11.0,0.0,6.0,11.0,1307.0,561.0,8.0,40.0,111.0,231.0,Spanish,Europe,249.0,127.0,18.0,157.32553127887766,Newspaper
119.0,97.0,6.0,31.0,32.0,145.0,29.0,8628.0,4801.0,93.0,449.0,947.0,2477.0,Spanish,Europe,738.0,108.0,3.0,669.1855977173087,Newspaper
261.0,200.0,3.0,54.0,21.0,24.0,22.0,6889.0,4027.0,48.0,327.0,636.0,835.0,English,Europe,652.0,111.0,2.0,632.3802472837805,Newspaper
73.0,60.0,1.0,12.0,4.0,4.0,23.0,4941.0,2464.0,30.0,191.0,456.0,1001.0,English,Europe,293.0,116.0,6.0,208.2533389964299,Television
424.0,257.0,8.0,86.0,38.0,169.0,4.0,1804.0,958.0,13.0,80.0,152.0,694.0,English,North America,450.0,111.0,10.0,706.6926878640032,Television
100.0,66.0,1.0,12.0,12.0,17.0,26.0,6472.0,3607.0,27.0,333.0,513.0,1180.0,English,Europe,136.0,131.0,10.0,107.87348462519006,Newspaper
334.0,226.0,9.0,65.0,44.0,125.0,6.0,2537.0,1557.0,65.0,130.0,479.0,661.0,English,North America,383.0,105.0,6.0,577.4009935553238,Television
125.0,67.0,3.0,34.0,13.0,135.0,5.0,1024.0,363.0,22.0,57.0,117.0,1106.0,English,Europe,50.0,124.0,14.0,145.1024042377731,Television
190.0,131.0,1.0,59.0,11.0,113.0,16.0,3186.0,1644.0,37.0,161.0,364.0,837.0,Spanish,North America,353.0,101.0,1.0,335.0256343819978,Newspaper
99.0,100.0,0.0,20.0,15.0,25.0,3.0,832.0,409.0,5.0,40.0,92.0,280.0,English,North America,287.0,127.0,15.0,200.28174349782046,Television
118.0,84.0,3.0,34.0,18.0,62.0,21.0,4049.0,2001.0,26.0,160.0,396.0,1118.0,Spanish,North America,381.0,126.0,10.0,106.24774553755014,Newspaper
427.0,291.0,2.0,57.0,29.0,134.0,20.0,6076.0,3400.0,49.0,266.0,600.0,1370.0,English,North America,996.0,133.0,13.0,990.213746834288,Television
37.0,10.0,5.0,4.0,6.0,73.0,6.0,853.0,358.0,11.0,39.0,59.0,627.0,Spanish,North America,540.0,114.0,5.0,67.68617825057981,Newspaper
13.0,14.0,1.0,3.0,4.0,21.0,12.0,1996.0,848.0,18.0,72.0,196.0,968.0,Spanish,North America,277.0,99.0,3.0,198.38059735249377,Newspaper
459.0,283.0,2.0,65.0,34.0,75.0,8.0,3453.0,2335.0,17.0,168.0,332.0,731.0,English,Europe,738.0,151.0,13.0,962.1910359446484,Television
112.0,72.0,5.0,34.0,13.0,158.0,30.0,6613.0,3033.0,90.0,349.0,725.0,2587.0,English,Europe,11.0,105.0,1.0,382.01396492022997,Television
131.0,81.0,0.0,13.0,9.0,63.0,16.0,2052.0,1011.0,6.0,78.0,144.0,596.0,English,North America,81.0,108.0,2.0,89.16068479235844,Newspaper
50.0,22.0,0.0,4.0,3.0,47.0,25.0,5961.0,3162.0,67.0,329.0,673.0,2090.0,Spanish,North America,210.0,104.0,8.0,322.1958145057073,Newspaper
97.0,92.0,0.0,32.0,2.0,20.0,7.0,971.0,400.0,3.0,35.0,54.0,274.0,English,Europe,2.0,106.0,1.0,100.9771945179485,Television
73.0,56.0,0.0,7.0,2.0,4.0,8.0,881.0,407.0,14.0,35.0,98.0,104.0,English,Europe,507.0,114.0,5.0,87.06781605831213,Television
126.0,113.0,1.0,14.0,17.0,33.0,14.0,2657.0,1241.0,18.0,80.0,183.0,667.0,Spanish,North America,511.0,128.0,19.0,134.62521449143946,Newspaper
239.0,124.0,9.0,71.0,32.0,185.0,30.0,9951.0,4965.0,96.0,485.0,1000.0,2987.0,English,North America,932.0,97.0,3.0,628.6063665090265,Television
418.0,247.0,2.0,84.0,14.0,55.0,15.0,2799.0,1572.0,7.0,125.0,170.0,581.0,Spanish,North America,479.0,141.0,19.0,603.0826599005413,Newspaper
15.0,38.0,1.0,15.0,1.0,80.0,24.0,5427.0,2651.0,56.0,296.0,573.0,2598.0,English,Europe,268.0,112.0,0.0,167.39997835179636,Television
88.0,69.0,0.0,13.0,3.0,34.0,15.0,2472.0,1323.0,29.0,129.0,233.0,638.0,Spanish,North America,496.0,112.0,14.0,345.380915056866,Newspaper
32.0,19.0,1.0,11.0,2.0,11.0,1.0,94.0,100.0,3.0,1.0,16.0,19.0,Spanish,North America,31.0,110.0,6.0,60.77838501532528,Newspaper
40.0,33.0,0.0,3.0,2.0,31.0,8.0,573.0,321.0,0.0,13.0,50.0,311.0,Spanish,Europe,809.0,124.0,17.0,98.3192902165434,Newspaper
318.0,181.0,8.0,81.0,45.0,135.0,11.0,3068.0,1296.0,78.0,180.0,453.0,1410.0,English,Europe,226.0,123.0,19.0,656.2979779343767,Television
338.0,210.0,4.0,59.0,37.0,59.0,2.0,1497.0,742.0,33.0,57.0,311.0,251.0,English,North America,916.0,120.0,18.0,325.8441567059123,Television
22.0,32.0,4.0,17.0,6.0,77.0,18.0,4388.0,2208.0,76.0,204.0,536.0,1525.0,Spanish,Europe,92.0,82.0,0.0,113.67736219548775,Newspaper
200.0,146.0,7.0,70.0,39.0,149.0,20.0,5759.0,3135.0,71.0,320.0,761.0,1898.0,English,Europe,495.0,106.0,10.0,678.0841849266367,Television
10.0,12.0,0.0,4.0,0.0,10.0,18.0,4095.0,2207.0,31.0,222.0,364.0,1512.0,Spanish,Europe,392.0,110.0,4.0,598.6214715309874,Newspaper
89.0,73.0,0.0,12.0,6.0,65.0,21.0,4721.0,2627.0,19.0,235.0,319.0,1301.0,Spanish,North America,594.0,110.0,1.0,903.0419886353344,Newspaper
492.0,296.0,9.0,93.0,43.0,132.0,22.0,6081.0,2932.0,40.0,278.0,534.0,1491.0,Spanish,Europe,506.0,111.0,13.0,243.71052475314457,Newspaper
271.0,153.0,3.0,38.0,30.0,155.0,10.0,3270.0,1720.0,21.0,119.0,307.0,1199.0,English,Europe,788.0,135.0,15.0,180.88041102118902,Television
80.0,86.0,4.0,32.0,12.0,10.0,16.0,4472.0,2554.0,22.0,219.0,380.0,1238.0,Spanish,North America,126.0,107.0,5.0,645.964410829566,Newspaper
21.0,40.0,3.0,16.0,4.0,26.0,17.0,4384.0,2060.0,48.0,223.0,383.0,1584.0,English,Europe,49.0,107.0,4.0,119.40555941255242,Television
11.0,23.0,5.0,12.0,6.0,24.0,4.0,1291.0,576.0,10.0,50.0,99.0,607.0,English,Europe,111.0,115.0,15.0,170.61851827323798,Television
310.0,164.0,7.0,72.0,32.0,118.0,28.0,9603.0,4805.0,100.0,484.0,954.0,2654.0,English,North America,245.0,110.0,9.0,422.8228281279897,Television
266.0,138.0,8.0,53.0,25.0,67.0,23.0,6437.0,2908.0,88.0,361.0,623.0,1837.0,Spanish,Europe,115.0,110.0,4.0,641.7038311458925,Newspaper
271.0,151.0,3.0,41.0,19.0,55.0,9.0,1485.0,645.0,14.0,64.0,104.0,553.0,English,Europe,300.0,113.0,11.0,207.9077746820353,Television
295.0,216.0,2.0,55.0,17.0,47.0,5.0,1031.0,457.0,11.0,50.0,92.0,381.0,English,North America,398.0,125.0,14.0,189.70759076490563,Television
125.0,71.0,2.0,12.0,15.0,10.0,15.0,3487.0,1875.0,17.0,118.0,317.0,398.0,English,Europe,36.0,132.0,18.0,67.28743403778812,Television
299.0,166.0,4.0,60.0,18.0,174.0,22.0,7961.0,3855.0,93.0,391.0,878.0,2697.0,English,Europe,763.0,123.0,16.0,978.3690792550414,Television
350.0,224.0,4.0,68.0,21.0,162.0,9.0,2148.0,1209.0,17.0,102.0,230.0,841.0,English,Europe,974.0,103.0,7.0,458.5752805919812,Newspaper
298.0,207.0,3.0,80.0,26.0,186.0,28.0,9539.0,4828.0,89.0,489.0,949.0,2972.0,Spanish,North America,647.0,119.0,12.0,550.2038318745397,Newspaper
37.0,49.0,1.0,6.0,11.0,51.0,30.0,9233.0,4838.0,87.0,462.0,966.0,2739.0,English,North America,697.0,115.0,12.0,510.91438744390143,Television
91.0,101.0,4.0,34.0,11.0,22.0,1.0,74.0,63.0,0.0,0.0,5.0,35.0,English,Europe,747.0,116.0,15.0,132.42650465152263,Television
82.0,39.0,2.0,7.0,5.0,11.0,9.0,2041.0,732.0,28.0,71.0,230.0,931.0,Spanish,Europe,539.0,114.0,11.0,56.19622159894434,Newspaper
225.0,117.0,2.0,29.0,16.0,45.0,2.0,878.0,411.0,25.0,43.0,169.0,176.0,Spanish,Europe,195.0,109.0,11.0,182.67916080494606,Newspaper
132.0,88.0,2.0,16.0,16.0,15.0,3.0,1545.0,739.0,19.0,54.0,171.0,229.0,English,North America,140.0,106.0,7.0,388.8772401712926,Television
126.0,72.0,1.0,24.0,8.0,140.0,5.0,1146.0,369.0,29.0,49.0,177.0,789.0,Spanish,Europe,808.0,112.0,2.0,430.06580106137903,Newspaper
13.0,12.0,1.0,0.0,4.0,8.0,12.0,1261.0,503.0,28.0,32.0,194.0,268.0,Spanish,Europe,674.0,93.0,6.0,70.45530582994583,Newspaper
140.0,107.0,7.0,22.0,25.0,26.0,8.0,2049.0,832.0,47.0,87.0,281.0,613.0,English,North America,62.0,106.0,11.0,100.93159338108767,Television
64.0,68.0,2.0,27.0,5.0,9.0,4.0,721.0,259.0,2.0,28.0,32.0,129.0,English,Europe,31.0,101.0,0.0,109.19625524078108,Television
44.0,21.0,0.0,10.0,0.0,12.0,21.0,5134.0,2655.0,26.0,238.0,451.0,1680.0,Spanish,Europe,149.0,122.0,17.0,228.78624050517917,Newspaper
17.0,7.0,0.0,0.0,0.0,0.0,7.0,532.0,237.0,5.0,12.0,64.0,101.0,English,North America,253.0,107.0,3.0,102.1505952412835,Newspaper
158.0,103.0,7.0,54.0,20.0,163.0,6.0,1381.0,675.0,36.0,92.0,239.0,629.0,Spanish,Europe,284.0,101.0,4.0,327.957321055429,Newspaper
39.0,61.0,0.0,5.0,2.0,2.0,17.0,3449.0,2202.0,11.0,145.0,249.0,467.0,English,Europe,464.0,108.0,8.0,421.66943325644166,Newspaper
312.0,214.0,4.0,66.0,28.0,177.0,28.0,9228.0,4810.0,65.0,450.0,868.0,2417.0,English,Europe,547.0,115.0,11.0,857.1663977150023,Newspaper
384.0,194.0,6.0,62.0,39.0,141.0,21.0,3979.0,1864.0,60.0,159.0,538.0,909.0,English,North America,892.0,114.0,11.0,618.9405768412714,Television
140.0,121.0,3.0,29.0,23.0,112.0,20.0,6511.0,3764.0,44.0,307.0,708.0,1837.0,English,North America,660.0,120.0,8.0,332.8537327911175,Newspaper
138.0,137.0,5.0,22.0,17.0,79.0,18.0,5189.0,2681.0,76.0,281.0,635.0,2161.0,Spanish,North America,420.0,113.0,2.0,601.0166000765246,Newspaper
302.0,230.0,8.0,81.0,38.0,190.0,10.0,2564.0,1175.0,51.0,123.0,427.0,1592.0,Spanish,North America,916.0,118.0,5.0,507.59797039888747,Newspaper
294.0,205.0,5.0,60.0,24.0,120.0,23.0,5327.0,2714.0,44.0,282.0,503.0,1613.0,Spanish,North America,903.0,129.0,11.0,370.8184739543322,Television
201.0,116.0,6.0,39.0,33.0,162.0,24.0,7571.0,4290.0,62.0,421.0,801.0,2631.0,English,Europe,341.0,103.0,1.0,343.3030625872322,Television
76.0,39.0,0.0,20.0,6.0,152.0,9.0,1056.0,460.0,14.0,38.0,127.0,464.0,English,Europe,270.0,114.0,2.0,235.43250496313826,Television
413.0,203.0,2.0,43.0,33.0,80.0,19.0,3579.0,1667.0,49.0,141.0,500.0,853.0,Spanish,North America,936.0,114.0,6.0,168.01420503732393,Newspaper
119.0,81.0,2.0,18.0,6.0,5.0,8.0,2474.0,1137.0,22.0,81.0,229.0,260.0,Spanish,Europe,744.0,120.0,18.0,356.01207719490486,Newspaper
