FlightsPerYear,HotelNights,InternationalTrips,DomesticTrips,TravelPackagesPurchased,MuseumVisits,YearsTraveling,LifetimeFlights,LifetimeHotelNights,LifetimeInternationalTrips,LifetimeDomesticTrips,LifetimeTravelPackagesPurchased,LifetimeMuseumVisits,PreferredAirlineStatus,FrequentFlyer,BaggageHandled,TravelAgencyInteractions,TravelRelatedComplaints,AnnualTravelBudget,NewTravelerProgram
88.0,290.0,2.0,45.0,16.0,10.0,31.0,587.0,298.0,56.0,175.0,102.0,60.0,Gold,Miles & More,306.0,99.0,7.0,4549.935188903954,Global Explorer Initiative
9.0,34.0,0.0,6.0,0.0,1.0,14.0,245.0,166.0,8.0,89.0,42.0,27.0,Gold,Miles & More,20.0,24.0,3.0,2807.330892889665,Global Explorer Initiative
22.0,46.0,1.0,8.0,3.0,12.0,42.0,551.0,243.0,29.0,151.0,73.0,94.0,Platinum,AAdvantage,110.0,117.0,1.0,2226.7210927500687,Adventure Start
86.0,284.0,6.0,40.0,26.0,12.0,6.0,137.0,67.0,43.0,53.0,56.0,24.0,Platinum,Miles & More,331.0,152.0,7.0,6070.5208019570155,Global Explorer Initiative
15.0,46.0,0.0,2.0,1.0,1.0,1.0,12.0,5.0,0.0,1.0,0.0,0.0,Gold,AAdvantage,77.0,112.0,4.0,769.6070054446268,Adventure Start
60.0,207.0,3.0,25.0,18.0,16.0,47.0,810.0,416.0,74.0,240.0,160.0,133.0,Gold,AAdvantage,109.0,44.0,1.0,8097.924184661834,Global Explorer Initiative
15.0,48.0,1.0,4.0,5.0,2.0,26.0,397.0,203.0,50.0,134.0,99.0,40.0,Platinum,AAdvantage,44.0,26.0,0.0,1445.4485203775635,Adventure Start
92.0,295.0,5.0,50.0,19.0,17.0,2.0,25.0,13.0,7.0,17.0,3.0,11.0,Platinum,AAdvantage,165.0,106.0,7.0,556.0517666720516,Adventure Start
0.0,2.0,0.0,0.0,0.0,5.0,36.0,751.0,417.0,83.0,258.0,165.0,145.0,Gold,Miles & More,332.0,26.0,2.0,6208.684844821533,Global Explorer Initiative
19.0,81.0,5.0,13.0,7.0,1.0,8.0,38.0,22.0,18.0,12.0,16.0,5.0,Gold,AAdvantage,414.0,31.0,4.0,4243.379965243,Global Explorer Initiative
31.0,121.0,0.0,18.0,3.0,3.0,28.0,729.0,416.0,34.0,253.0,106.0,86.0,Platinum,AAdvantage,42.0,159.0,6.0,3284.107409044981,Adventure Start
3.0,6.0,0.0,1.0,0.0,0.0,21.0,225.0,115.0,32.0,63.0,56.0,20.0,Platinum,AAdvantage,176.0,18.0,2.0,3189.8539047534055,Adventure Start
61.0,187.0,1.0,15.0,19.0,10.0,19.0,574.0,304.0,59.0,158.0,142.0,55.0,Gold,Miles & More,141.0,99.0,1.0,5343.450164248789,Global Explorer Initiative
78.0,203.0,10.0,46.0,30.0,20.0,30.0,883.0,460.0,79.0,286.0,177.0,145.0,Platinum,Miles & More,109.0,77.0,5.0,3820.9783369638926,Adventure Start
40.0,105.0,8.0,33.0,19.0,7.0,10.0,138.0,62.0,25.0,54.0,20.0,12.0,Gold,Miles & More,335.0,3.0,3.0,2122.236155131051,Global Explorer Initiative
11.0,35.0,0.0,7.0,0.0,10.0,19.0,220.0,109.0,10.0,84.0,27.0,51.0,Gold,Miles & More,178.0,106.0,2.0,1200.6697079064063,Global Explorer Initiative
41.0,186.0,8.0,28.0,23.0,3.0,10.0,228.0,136.0,25.0,97.0,46.0,27.0,Gold,Miles & More,372.0,60.0,5.0,1213.5202129927693,Global Explorer Initiative
15.0,54.0,4.0,9.0,17.0,8.0,34.0,715.0,404.0,91.0,257.0,182.0,136.0,Gold,AAdvantage,180.0,3.0,0.0,3627.6011532075713,Global Explorer Initiative
4.0,28.0,2.0,10.0,2.0,6.0,14.0,116.0,59.0,15.0,45.0,26.0,51.0,Gold,Miles & More,217.0,60.0,0.0,227.28538810222244,Global Explorer Initiative
65.0,256.0,9.0,29.0,29.0,15.0,37.0,628.0,361.0,88.0,232.0,178.0,125.0,Gold,Miles & More,368.0,43.0,3.0,7710.517539356017,Global Explorer Initiative
12.0,56.0,0.0,6.0,5.0,4.0,9.0,163.0,86.0,12.0,48.0,31.0,18.0,Platinum,Miles & More,295.0,9.0,0.0,2538.8093109253873,Adventure Start
24.0,61.0,4.0,11.0,8.0,1.0,10.0,204.0,114.0,15.0,56.0,39.0,10.0,Gold,AAdvantage,109.0,119.0,6.0,4644.58990126553,Global Explorer Initiative
62.0,165.0,3.0,25.0,16.0,10.0,2.0,20.0,11.0,2.0,5.0,2.0,4.0,Gold,AAdvantage,158.0,107.0,8.0,586.3546029477304,Global Explorer Initiative
12.0,21.0,0.0,1.0,0.0,0.0,26.0,387.0,216.0,7.0,142.0,33.0,19.0,Gold,AAdvantage,274.0,110.0,8.0,1272.551012239718,Global Explorer Initiative
70.0,259.0,9.0,47.0,29.0,19.0,50.0,964.0,492.0,100.0,299.0,196.0,147.0,Gold,AAdvantage,229.0,3.0,1.0,7062.905331370242,Global Explorer Initiative
4.0,10.0,0.0,1.0,1.0,2.0,4.0,15.0,7.0,4.0,2.0,2.0,1.0,Platinum,Miles & More,314.0,140.0,6.0,311.96426806768784,Adventure Start
41.0,100.0,1.0,24.0,8.0,9.0,22.0,354.0,184.0,21.0,150.0,46.0,70.0,Platinum,AAdvantage,68.0,180.0,10.0,4843.198714205934,Adventure Start
14.0,30.0,4.0,6.0,3.0,9.0,14.0,338.0,181.0,65.0,129.0,81.0,65.0,Platinum,Miles & More,351.0,12.0,2.0,2031.091789404408,Adventure Start
65.0,185.0,4.0,33.0,15.0,19.0,21.0,558.0,310.0,72.0,230.0,123.0,129.0,Platinum,AAdvantage,167.0,22.0,1.0,4634.86065893091,Adventure Start
8.0,33.0,0.0,2.0,2.0,2.0,14.0,165.0,90.0,18.0,52.0,37.0,14.0,Platinum,AAdvantage,261.0,19.0,4.0,489.1763091946468,Adventure Start
42.0,170.0,5.0,31.0,13.0,4.0,22.0,608.0,349.0,47.0,195.0,115.0,50.0,Platinum,Miles & More,335.0,16.0,5.0,6935.96198200463,Adventure Start
48.0,193.0,3.0,26.0,21.0,14.0,19.0,537.0,300.0,70.0,212.0,139.0,114.0,Gold,AAdvantage,75.0,93.0,1.0,7716.34892977318,Global Explorer Initiative
65.0,224.0,1.0,34.0,13.0,10.0,10.0,344.0,174.0,23.0,109.0,61.0,44.0,Platinum,Miles & More,123.0,109.0,6.0,4821.16856024005,Adventure Start
49.0,126.0,6.0,31.0,20.0,9.0,27.0,560.0,300.0,56.0,221.0,105.0,111.0,Platinum,AAdvantage,376.0,18.0,0.0,4117.661852763553,Adventure Start
28.0,96.0,1.0,21.0,2.0,9.0,25.0,450.0,216.0,27.0,145.0,73.0,81.0,Platinum,Miles & More,142.0,122.0,2.0,1660.9513939577494,Adventure Start
60.0,183.0,9.0,32.0,26.0,14.0,20.0,348.0,171.0,79.0,125.0,110.0,43.0,Platinum,Miles & More,125.0,49.0,6.0,2028.0576661680077,Adventure Start
1.0,15.0,0.0,3.0,1.0,2.0,15.0,368.0,202.0,16.0,128.0,59.0,41.0,Gold,AAdvantage,279.0,58.0,4.0,4342.210016130905,Adventure Start
66.0,228.0,2.0,20.0,16.0,5.0,34.0,788.0,444.0,75.0,254.0,167.0,74.0,Platinum,AAdvantage,120.0,96.0,7.0,4640.907074641891,Adventure Start
68.0,224.0,10.0,34.0,25.0,8.0,16.0,389.0,209.0,74.0,176.0,101.0,71.0,Platinum,AAdvantage,368.0,48.0,4.0,7675.248196459682,Global Explorer Initiative
77.0,211.0,2.0,34.0,9.0,15.0,29.0,805.0,437.0,62.0,265.0,148.0,88.0,Platinum,Miles & More,442.0,191.0,10.0,3407.8145625810816,Adventure Start
4.0,8.0,0.0,5.0,3.0,8.0,28.0,385.0,183.0,65.0,148.0,94.0,101.0,Platinum,AAdvantage,14.0,8.0,2.0,2016.8829626958577,Adventure Start
14.0,29.0,0.0,9.0,0.0,11.0,14.0,175.0,90.0,14.0,79.0,23.0,26.0,Gold,AAdvantage,203.0,113.0,5.0,4987.428672193478,Global Explorer Initiative
36.0,146.0,7.0,15.0,22.0,11.0,37.0,612.0,351.0,90.0,196.0,174.0,85.0,Gold,AAdvantage,149.0,56.0,0.0,2858.3857228789375,Global Explorer Initiative
5.0,3.0,5.0,1.0,10.0,7.0,27.0,413.0,202.0,76.0,143.0,123.0,96.0,Platinum,Miles & More,214.0,6.0,2.0,4424.928299903716,Adventure Start
33.0,104.0,0.0,14.0,7.0,12.0,4.0,58.0,47.0,6.0,33.0,8.0,25.0,Platinum,AAdvantage,141.0,100.0,9.0,527.830373305575,Adventure Start
48.0,182.0,6.0,37.0,14.0,16.0,12.0,197.0,118.0,27.0,78.0,53.0,41.0,Gold,AAdvantage,127.0,23.0,3.0,3471.7021540613937,Global Explorer Initiative
56.0,142.0,8.0,28.0,19.0,10.0,5.0,115.0,53.0,59.0,52.0,39.0,25.0,Platinum,Miles & More,79.0,29.0,0.0,261.1702713145523,Global Explorer Initiative
27.0,103.0,6.0,12.0,17.0,2.0,4.0,119.0,67.0,18.0,31.0,27.0,7.0,Platinum,AAdvantage,389.0,51.0,8.0,1667.4781148751445,Adventure Start
0.0,19.0,0.0,3.0,1.0,1.0,12.0,224.0,124.0,8.0,85.0,26.0,49.0,Platinum,Miles & More,283.0,56.0,2.0,216.76970239466095,Adventure Start
1.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,1.0,2.0,0.0,2.0,Platinum,AAdvantage,66.0,116.0,9.0,1047.7059460467794,Adventure Start
11.0,26.0,2.0,3.0,4.0,8.0,42.0,655.0,357.0,40.0,227.0,111.0,131.0,Gold,Miles & More,362.0,76.0,0.0,919.9057220354562,Global Explorer Initiative
43.0,167.0,5.0,19.0,16.0,8.0,12.0,140.0,73.0,10.0,44.0,23.0,14.0,Gold,AAdvantage,276.0,16.0,4.0,2671.715009386473,Global Explorer Initiative
87.0,216.0,9.0,44.0,24.0,20.0,12.0,463.0,257.0,88.0,227.0,147.0,102.0,Platinum,AAdvantage,363.0,109.0,2.0,9773.718559457162,Global Explorer Initiative
98.0,277.0,5.0,50.0,19.0,18.0,17.0,393.0,231.0,22.0,179.0,58.0,88.0,Platinum,AAdvantage,297.0,142.0,9.0,8435.226320604634,Global Explorer Initiative
46.0,194.0,1.0,29.0,5.0,13.0,6.0,165.0,92.0,4.0,62.0,17.0,21.0,Gold,AAdvantage,408.0,169.0,10.0,1831.7718931332943,Adventure Start
52.0,156.0,9.0,26.0,21.0,9.0,10.0,243.0,129.0,76.0,89.0,100.0,35.0,Gold,AAdvantage,356.0,6.0,0.0,3555.329614146377,Global Explorer Initiative
61.0,190.0,1.0,27.0,19.0,19.0,9.0,259.0,170.0,23.0,115.0,62.0,44.0,Gold,AAdvantage,468.0,168.0,10.0,6436.301941964521,Global Explorer Initiative
6.0,25.0,0.0,6.0,3.0,12.0,11.0,219.0,107.0,32.0,75.0,49.0,55.0,Gold,Miles & More,356.0,17.0,2.0,1473.7339515095957,Adventure Start
16.0,47.0,3.0,7.0,13.0,4.0,30.0,384.0,176.0,52.0,141.0,77.0,78.0,Platinum,Miles & More,6.0,101.0,1.0,394.2659960393531,Adventure Start
76.0,212.0,9.0,38.0,26.0,17.0,21.0,635.0,328.0,91.0,228.0,173.0,119.0,Platinum,AAdvantage,153.0,36.0,1.0,5876.960668592573,Global Explorer Initiative
22.0,52.0,1.0,6.0,8.0,3.0,2.0,13.0,5.0,0.0,1.0,0.0,3.0,Gold,Miles & More,337.0,170.0,6.0,380.0806245979203,Global Explorer Initiative
23.0,87.0,4.0,22.0,15.0,6.0,19.0,318.0,139.0,26.0,96.0,57.0,41.0,Gold,Miles & More,123.0,101.0,4.0,3032.979178027838,Global Explorer Initiative
12.0,38.0,2.0,9.0,5.0,5.0,33.0,498.0,246.0,33.0,179.0,73.0,94.0,Platinum,AAdvantage,386.0,6.0,0.0,3919.108254998575,Adventure Start
80.0,244.0,5.0,40.0,21.0,18.0,32.0,661.0,342.0,67.0,237.0,106.0,138.0,Gold,AAdvantage,420.0,102.0,1.0,5182.705327144763,Global Explorer Initiative
13.0,22.0,0.0,2.0,0.0,1.0,1.0,21.0,13.0,0.0,10.0,1.0,12.0,Platinum,Miles & More,71.0,100.0,8.0,421.8817211986445,Adventure Start
10.0,9.0,1.0,1.0,3.0,0.0,1.0,35.0,17.0,12.0,7.0,12.0,5.0,Gold,AAdvantage,399.0,64.0,1.0,936.5990337066982,Adventure Start
11.0,8.0,0.0,2.0,0.0,1.0,1.0,36.0,21.0,12.0,21.0,6.0,18.0,Gold,AAdvantage,26.0,128.0,6.0,279.49070116679036,Global Explorer Initiative
16.0,62.0,5.0,11.0,6.0,2.0,35.0,445.0,212.0,35.0,157.0,74.0,58.0,Platinum,Miles & More,12.0,52.0,2.0,3424.3973890748366,Adventure Start
62.0,253.0,1.0,21.0,15.0,1.0,4.0,32.0,26.0,0.0,7.0,1.0,1.0,Gold,Miles & More,448.0,174.0,7.0,4217.67235305882,Global Explorer Initiative
56.0,186.0,1.0,18.0,16.0,14.0,49.0,816.0,418.0,38.0,230.0,151.0,114.0,Gold,Miles & More,87.0,174.0,10.0,2422.700001367372,Global Explorer Initiative
14.0,50.0,6.0,8.0,17.0,0.0,34.0,687.0,388.0,84.0,231.0,178.0,79.0,Platinum,AAdvantage,213.0,38.0,5.0,7317.581127074521,Adventure Start
12.0,58.0,3.0,6.0,14.0,1.0,14.0,334.0,172.0,49.0,130.0,75.0,44.0,Gold,Miles & More,16.0,55.0,2.0,3400.4100799210073,Global Explorer Initiative
74.0,241.0,3.0,27.0,13.0,16.0,23.0,632.0,353.0,77.0,233.0,138.0,120.0,Gold,AAdvantage,465.0,88.0,7.0,7726.001972427491,Global Explorer Initiative
59.0,166.0,3.0,23.0,12.0,4.0,32.0,480.0,222.0,45.0,161.0,86.0,102.0,Gold,AAdvantage,18.0,86.0,4.0,547.674986945561,Global Explorer Initiative
55.0,155.0,5.0,18.0,23.0,16.0,23.0,386.0,196.0,72.0,138.0,118.0,56.0,Gold,Miles & More,122.0,168.0,9.0,6520.56601600999,Global Explorer Initiative
2.0,26.0,1.0,1.0,5.0,1.0,4.0,112.0,70.0,31.0,51.0,41.0,30.0,Platinum,AAdvantage,187.0,62.0,3.0,2171.0569643513486,Adventure Start
49.0,109.0,4.0,16.0,17.0,13.0,11.0,125.0,68.0,39.0,35.0,49.0,12.0,Platinum,AAdvantage,432.0,98.0,7.0,2251.336516756009,Adventure Start
77.0,198.0,5.0,32.0,15.0,12.0,34.0,557.0,307.0,67.0,206.0,127.0,84.0,Gold,Miles & More,208.0,104.0,7.0,1410.7973430394718,Global Explorer Initiative
29.0,114.0,7.0,24.0,17.0,8.0,19.0,341.0,173.0,48.0,117.0,72.0,42.0,Gold,AAdvantage,52.0,34.0,4.0,3084.755396814009,Global Explorer Initiative
12.0,51.0,4.0,15.0,10.0,15.0,27.0,509.0,303.0,78.0,227.0,136.0,124.0,Gold,AAdvantage,248.0,0.0,0.0,4063.6373244123215,Global Explorer Initiative
7.0,5.0,3.0,6.0,4.0,11.0,47.0,588.0,303.0,74.0,215.0,133.0,122.0,Gold,AAdvantage,12.0,68.0,2.0,4604.299561459054,Global Explorer Initiative
3.0,10.0,3.0,8.0,3.0,0.0,4.0,83.0,50.0,14.0,47.0,15.0,29.0,Gold,Miles & More,161.0,5.0,2.0,425.69331255487396,Global Explorer Initiative
35.0,111.0,0.0,24.0,9.0,13.0,12.0,224.0,118.0,18.0,104.0,39.0,75.0,Platinum,Miles & More,256.0,174.0,10.0,3692.1320407295725,Adventure Start
82.0,221.0,2.0,34.0,14.0,5.0,16.0,211.0,117.0,18.0,67.0,45.0,19.0,Platinum,Miles & More,214.0,97.0,9.0,3253.074683898615,Adventure Start
94.0,270.0,7.0,48.0,28.0,20.0,43.0,954.0,470.0,97.0,298.0,194.0,150.0,Gold,Miles & More,220.0,73.0,7.0,5470.087611963693,Global Explorer Initiative
10.0,20.0,1.0,5.0,2.0,4.0,3.0,91.0,56.0,29.0,52.0,37.0,41.0,Gold,AAdvantage,349.0,7.0,0.0,333.89777036146097,Global Explorer Initiative
40.0,166.0,1.0,21.0,15.0,16.0,4.0,201.0,122.0,17.0,80.0,45.0,28.0,Platinum,Miles & More,59.0,27.0,2.0,3771.429384781456,Adventure Start
94.0,275.0,7.0,43.0,23.0,9.0,13.0,486.0,290.0,68.0,170.0,117.0,54.0,Platinum,Miles & More,423.0,80.0,3.0,1675.6960571386999,Adventure Start
24.0,63.0,2.0,15.0,3.0,13.0,13.0,154.0,72.0,17.0,65.0,25.0,33.0,Gold,AAdvantage,14.0,124.0,3.0,499.93905029918983,Global Explorer Initiative
2.0,5.0,0.0,0.0,1.0,0.0,22.0,379.0,175.0,51.0,95.0,91.0,44.0,Platinum,Miles & More,13.0,45.0,4.0,689.7823692636032,Adventure Start
87.0,246.0,5.0,40.0,18.0,17.0,30.0,787.0,398.0,81.0,237.0,163.0,109.0,Platinum,Miles & More,268.0,35.0,2.0,2175.6860750720693,Adventure Start
0.0,7.0,1.0,7.0,3.0,2.0,1.0,22.0,17.0,21.0,11.0,17.0,10.0,Platinum,Miles & More,124.0,20.0,2.0,1708.9208152880428,Adventure Start
7.0,20.0,5.0,2.0,15.0,0.0,47.0,657.0,381.0,61.0,183.0,154.0,54.0,Platinum,AAdvantage,331.0,1.0,2.0,3744.022760312242,Adventure Start
24.0,96.0,0.0,11.0,2.0,4.0,2.0,18.0,11.0,0.0,6.0,0.0,3.0,Gold,AAdvantage,142.0,175.0,4.0,378.0803959547178,Global Explorer Initiative
31.0,91.0,4.0,19.0,6.0,2.0,13.0,115.0,64.0,13.0,45.0,22.0,20.0,Gold,Miles & More,51.0,78.0,2.0,816.6403902404697,Global Explorer Initiative
33.0,107.0,2.0,19.0,5.0,3.0,8.0,129.0,61.0,22.0,41.0,19.0,15.0,Platinum,Miles & More,116.0,51.0,5.0,2319.6126828199667,Adventure Start
36.0,104.0,1.0,17.0,13.0,8.0,34.0,510.0,239.0,74.0,156.0,138.0,92.0,Platinum,Miles & More,25.0,56.0,2.0,522.4050770746061,Adventure Start
11.0,19.0,3.0,2.0,11.0,8.0,36.0,656.0,368.0,65.0,234.0,133.0,137.0,Gold,AAdvantage,432.0,5.0,0.0,6364.876191079053,Adventure Start
2.0,6.0,1.0,6.0,2.0,3.0,22.0,334.0,163.0,40.0,125.0,71.0,55.0,Platinum,Miles & More,32.0,94.0,5.0,391.1235912955235,Adventure Start
59.0,179.0,1.0,14.0,16.0,5.0,29.0,547.0,322.0,21.0,175.0,86.0,59.0,Gold,Miles & More,188.0,127.0,3.0,1508.603211278222,Adventure Start
26.0,79.0,0.0,15.0,1.0,11.0,12.0,271.0,156.0,27.0,123.0,57.0,41.0,Gold,AAdvantage,311.0,112.0,2.0,2189.00727584123,Global Explorer Initiative
7.0,32.0,0.0,7.0,0.0,7.0,9.0,144.0,80.0,8.0,66.0,18.0,28.0,Gold,Miles & More,61.0,40.0,0.0,2626.6401292592827,Global Explorer Initiative
50.0,119.0,4.0,14.0,14.0,2.0,10.0,221.0,129.0,37.0,70.0,54.0,19.0,Gold,AAdvantage,188.0,94.0,3.0,492.9432086081933,Global Explorer Initiative
47.0,111.0,3.0,16.0,12.0,5.0,1.0,68.0,37.0,17.0,17.0,19.0,11.0,Gold,Miles & More,64.0,65.0,1.0,876.2632756014049,Global Explorer Initiative
69.0,230.0,2.0,39.0,14.0,18.0,28.0,603.0,330.0,51.0,190.0,128.0,92.0,Platinum,AAdvantage,466.0,65.0,4.0,9797.960835507987,Adventure Start
29.0,73.0,6.0,13.0,19.0,12.0,49.0,792.0,391.0,73.0,247.0,156.0,142.0,Gold,Miles & More,183.0,79.0,2.0,6031.380633133583,Global Explorer Initiative
19.0,59.0,0.0,8.0,4.0,13.0,12.0,153.0,72.0,3.0,35.0,17.0,23.0,Gold,AAdvantage,36.0,84.0,1.0,4137.082732748301,Global Explorer Initiative
15.0,22.0,2.0,3.0,5.0,1.0,12.0,311.0,137.0,40.0,70.0,63.0,21.0,Platinum,AAdvantage,30.0,111.0,8.0,136.3894033834397,Adventure Start
53.0,208.0,8.0,41.0,24.0,18.0,26.0,798.0,430.0,93.0,280.0,183.0,142.0,Gold,AAdvantage,445.0,104.0,4.0,9299.894674202422,Global Explorer Initiative
13.0,18.0,3.0,3.0,6.0,2.0,23.0,382.0,190.0,74.0,135.0,103.0,43.0,Gold,Miles & More,116.0,34.0,0.0,2893.32702701242,Global Explorer Initiative
10.0,10.0,4.0,2.0,7.0,3.0,33.0,673.0,381.0,74.0,229.0,156.0,71.0,Platinum,AAdvantage,393.0,2.0,0.0,3072.8259847402096,Adventure Start
7.0,25.0,2.0,5.0,7.0,1.0,8.0,76.0,55.0,8.0,30.0,19.0,9.0,Platinum,AAdvantage,18.0,91.0,2.0,138.40146524677408,Adventure Start
10.0,7.0,0.0,1.0,0.0,0.0,2.0,16.0,6.0,4.0,1.0,1.0,1.0,Platinum,AAdvantage,4.0,132.0,9.0,126.05006229653483,Adventure Start
23.0,39.0,4.0,7.0,5.0,8.0,6.0,175.0,82.0,26.0,48.0,36.0,34.0,Gold,Miles & More,55.0,57.0,1.0,644.8250251722368,Global Explorer Initiative
65.0,199.0,3.0,24.0,19.0,7.0,15.0,351.0,185.0,34.0,134.0,74.0,55.0,Gold,AAdvantage,471.0,60.0,7.0,1773.6628831820765,Global Explorer Initiative
72.0,193.0,2.0,23.0,20.0,4.0,7.0,177.0,113.0,37.0,78.0,52.0,16.0,Gold,AAdvantage,99.0,196.0,8.0,3776.666649335539,Global Explorer Initiative
14.0,48.0,6.0,12.0,8.0,1.0,9.0,88.0,63.0,42.0,35.0,46.0,12.0,Platinum,AAdvantage,429.0,12.0,3.0,5510.3849530127645,Adventure Start
78.0,254.0,5.0,30.0,20.0,11.0,11.0,421.0,249.0,59.0,188.0,105.0,87.0,Gold,Miles & More,372.0,174.0,9.0,5635.57802653318,Global Explorer Initiative
74.0,275.0,7.0,38.0,24.0,5.0,17.0,219.0,126.0,58.0,86.0,80.0,22.0,Platinum,Miles & More,41.0,87.0,8.0,6482.664819001287,Adventure Start
44.0,174.0,8.0,22.0,22.0,3.0,36.0,812.0,447.0,75.0,267.0,158.0,91.0,Platinum,AAdvantage,87.0,111.0,6.0,8865.053594155455,Global Explorer Initiative
16.0,44.0,1.0,9.0,4.0,12.0,37.0,550.0,257.0,37.0,168.0,80.0,131.0,Gold,AAdvantage,8.0,45.0,0.0,198.50545228252759,Adventure Start
22.0,71.0,5.0,14.0,17.0,2.0,1.0,12.0,7.0,2.0,2.0,2.0,0.0,Gold,AAdvantage,85.0,102.0,2.0,330.0375065477947,Global Explorer Initiative
1.0,2.0,0.0,1.0,1.0,4.0,39.0,390.0,187.0,26.0,135.0,65.0,62.0,Gold,AAdvantage,174.0,108.0,1.0,1761.0592097173835,Global Explorer Initiative
69.0,222.0,5.0,33.0,25.0,10.0,46.0,941.0,479.0,74.0,287.0,188.0,135.0,Platinum,AAdvantage,283.0,45.0,0.0,4463.263056818518,Adventure Start
41.0,154.0,2.0,19.0,11.0,3.0,22.0,528.0,276.0,41.0,177.0,90.0,74.0,Platinum,AAdvantage,366.0,92.0,1.0,6408.233359649497,Adventure Start
85.0,253.0,6.0,27.0,23.0,9.0,35.0,871.0,462.0,70.0,255.0,170.0,86.0,Platinum,AAdvantage,471.0,60.0,3.0,4218.924376010921,Adventure Start
45.0,153.0,3.0,29.0,10.0,5.0,16.0,289.0,169.0,7.0,92.0,38.0,42.0,Platinum,Miles & More,49.0,38.0,5.0,318.39257918948255,Adventure Start
8.0,7.0,1.0,2.0,2.0,1.0,20.0,380.0,173.0,18.0,117.0,42.0,34.0,Gold,AAdvantage,240.0,58.0,0.0,202.39426280497705,Global Explorer Initiative
24.0,87.0,7.0,11.0,23.0,12.0,34.0,520.0,295.0,69.0,177.0,128.0,116.0,Platinum,Miles & More,364.0,0.0,0.0,3920.1461119685673,Adventure Start
10.0,45.0,0.0,5.0,1.0,3.0,15.0,345.0,190.0,11.0,128.0,57.0,59.0,Gold,Miles & More,210.0,158.0,7.0,3075.108101082851,Global Explorer Initiative
39.0,87.0,3.0,24.0,7.0,10.0,3.0,21.0,11.0,18.0,15.0,11.0,21.0,Gold,Miles & More,128.0,112.0,4.0,179.72303312353063,Global Explorer Initiative
